barcodes,celltype
2379,Baso
394,HSPC
1592,HSPC
2039,HSPC
680,Neutrophil
529,HSPC
3454,Neutrophil
391,HSPC
4061,HSPC
801,Monocyte
3353,Baso
163,Neutrophil
685,Neutrophil
3212,Monocyte
5789,HSPC
3330,Neutrophil
4009,Monocyte
4226,HSPC
529,Monocyte
4234,Monocyte
910,Monocyte
4287,HSPC
1652,Neutrophil
1363,Monocyte
3330,Monocyte
1110,HSPC
4141,Neutrophil
2616,Monocyte
3258,HSPC
1041,Monocyte
801,Neutrophil
4250,Neutrophil
2259,Monocyte
2862,Baso
2421,Neutrophil
125,Neutrophil
1652,HSPC
2331,HSPC
4256,HSPC
4256,Monocyte
4926,Monocyte
3532,Baso
417,Neutrophil
987,Baso
3681,Neutrophil
4784,Neutrophil
5789,HSPC
2553,Baso
801,Monocyte
5313,Neutrophil
1110,Neutrophil
2173,Neutrophil
1700,Neutrophil
4862,HSPC
1708,HSPC
5070,Neutrophil
3353,Neutrophil
4913,HSPC
801,Monocyte
801,Monocyte
5112,Neutrophil
5725,Neutrophil
4533,Neutrophil
3887,Monocyte
1557,Baso
2634,Neutrophil
333,Monocyte
2638,HSPC
3336,Neutrophil
4234,HSPC
2569,Monocyte
2370,Monocyte
3998,Neutrophil
4261,HSPC
5789,Neutrophil
3438,Monocyte
4923,HSPC
3530,Neutrophil
3212,Monocyte
3212,Monocyte
5725,Neutrophil
4447,HSPC
5480,Monocyte
2370,Monocyte
2862,Baso
3497,Neutrophil
4234,HSPC
2111,Neutrophil
529,Monocyte
1450,Neutrophil
3296,Neutrophil
3702,HSPC
3438,Monocyte
1110,HSPC
2569,Monocyte
3212,Monocyte
163,Monocyte
3127,Monocyte
2616,Monocyte
1653,HSPC
5480,Neutrophil
3456,HSPC
1581,Baso
2259,Monocyte
996,Neutrophil
3438,Monocyte
1972,HSPC
2553,Baso
4058,Monocyte
3336,Neutrophil
5313,Neutrophil
3976,HSPC
4470,HSPC
374,Neutrophil
3278,Neutrophil
358,HSPC
3470,HSPC
5404,Monocyte
1683,Baso
1440,HSPC
4237,Monocyte
185,HSPC
529,Monocyte
5578,HSPC
1682,HSPC
3330,Monocyte
1968,HSPC
3963,Baso
5479,Neutrophil
3530,Neutrophil
7,Monocyte
3470,HSPC
633,Neutrophil
2173,HSPC
3572,HSPC
3508,HSPC
415,Neutrophil
1861,Monocyte
959,Neutrophil
3569,HSPC
5736,Neutrophil
163,Monocyte
2039,HSPC
2568,HSPC
3681,Neutrophil
3438,HSPC
3113,HSPC
3628,HSPC
5783,HSPC
163,Monocyte
3296,Monocyte
4058,Monocyte
507,HSPC
2094,HSPC
1618,HSPC
861,Baso
5789,HSPC
5313,Neutrophil
3736,HSPC
3801,Monocyte
5791,Baso
5596,Neutrophil
5624,Monocyte
5266,Monocyte
3378,Baso
2173,HSPC
3438,HSPC
3529,Neutrophil
1146,HSPC
3292,HSPC
3438,HSPC
4117,Monocyte
4226,HSPC
1451,HSPC
374,Neutrophil
4774,Baso
4678,Neutrophil
3530,Neutrophil
407,Neutrophil
572,HSPC
4261,HSPC
1557,Baso
163,Neutrophil
5112,Monocyte
2638,HSPC
4234,HSPC
3212,Monocyte
5736,Neutrophil
3291,Monocyte
67,Neutrophil
3336,Neutrophil
394,Monocyte
3485,Neutrophil
4256,HSPC
3339,Monocyte
405,Monocyte
801,Monocyte
3113,HSPC
1363,Monocyte
4923,HSPC
4913,HSPC
245,HSPC
2370,Monocyte
529,Monocyte
704,Monocyte
363,Baso
3171,Neutrophil
3212,Monocyte
1089,HSPC
1592,HSPC
1968,HSPC
358,HSPC
529,HSPC
4316,Monocyte
3212,Monocyte
3485,Neutrophil
2370,Monocyte
5313,Neutrophil
5404,Neutrophil
3912,Erythroid
3292,HSPC
4287,Monocyte
281,Baso
4190,Monocyte
3736,HSPC
1618,HSPC
5725,Neutrophil
3378,Baso
5081,Monocyte
407,Neutrophil
125,Neutrophil
4581,HSPC
1041,Monocyte
52,Neutrophil
2370,Neutrophil
5758,Neutrophil
3336,HSPC
4226,Monocyte
529,Monocyte
3364,HSPC
3872,Monocyte
4967,Monocyte
3296,Neutrophil
3945,HSPC
590,Monocyte
4502,HSPC
358,HSPC
3438,Monocyte
4256,Monocyte
3212,Monocyte
2370,Monocyte
3801,Erythroid
3872,Neutrophil
4234,Neutrophil
3945,HSPC
529,Monocyte
801,Monocyte
685,Monocyte
8,Baso
427,Baso
4261,HSPC
4287,HSPC
3485,Neutrophil
4237,Monocyte
4226,HSPC
3438,HSPC
2370,HSPC
2039,HSPC
2039,Monocyte
4234,Monocyte
163,HSPC
5308,Neutrophil
3801,Neutrophil
4802,Neutrophil
5252,HSPC
5617,HSPC
5081,Neutrophil
417,Neutrophil
1557,Baso
3628,HSPC
3296,Neutrophil
5112,Monocyte
1972,HSPC
667,Neutrophil
5362,HSPC
5404,HSPC
1572,Neutrophil
2569,HSPC
3497,HSPC
2638,HSPC
417,Monocyte
1683,Baso
3872,Monocyte
4598,HSPC
5091,Monocyte
1592,HSPC
415,Monocyte
3292,HSPC
1371,HSPC
4678,HSPC
2772,Neutrophil
3291,HSPC
1737,Baso
415,Neutrophil
2862,Baso
5791,Baso
4991,Baso
2862,Baso
4913,HSPC
4237,Monocyte
529,Monocyte
2094,HSPC
2331,Baso
685,Monocyte
3801,Neutrophil
415,Neutrophil
2370,Monocyte
52,Neutrophil
1592,Monocyte
4256,Neutrophil
996,Monocyte
4226,HSPC
2084,Baso
3485,Neutrophil
3569,HSPC
1110,HSPC
3258,HSPC
5492,Neutrophil
3111,Neutrophil
3353,Baso
754,Baso
1592,HSPC
2173,Neutrophil
2776,HSPC
4581,HSPC
3696,Monocyte
1440,HSPC
3330,Neutrophil
3628,HSPC
5725,HSPC
4911,Neutrophil
4763,Monocyte
801,Monocyte
685,Monocyte
1932,Erythroid
1971,Baso
5758,Neutrophil
2173,HSPC
3113,Neutrophil
1110,HSPC
4862,HSPC
5081,Monocyte
529,HSPC
1972,HSPC
2331,HSPC
3118,Monocyte
2039,Monocyte
3981,Monocyte
4581,HSPC
2370,Monocyte
5060,HSPC
4287,HSPC
4473,Baso
996,Neutrophil
3485,Neutrophil
5404,HSPC
5803,Neutrophil
4061,Neutrophil
1219,Neutrophil
2868,Monocyte
2084,Baso
2849,HSPC
4678,HSPC
529,HSPC
996,Neutrophil
704,Neutrophil
2735,Neutrophil
5736,HSPC
3887,Monocyte
1972,HSPC
5060,HSPC
673,HSPC
358,HSPC
4161,Neutrophil
4261,HSPC
4581,Neutrophil
979,Monocyte
996,Neutrophil
4190,Monocyte
2370,HSPC
5725,Neutrophil
3887,HSPC
1375,Baso
407,Neutrophil
2011,Neutrophil
3378,Baso
5789,HSPC
3438,HSPC
2370,Monocyte
2569,HSPC
3292,HSPC
3736,HSPC
963,Baso
2638,HSPC
1706,HSPC
1822,HSPC
2013,Neutrophil
2379,Baso
3438,HSPC
3887,Monocyte
3628,HSPC
407,Neutrophil
4086,HSPC
3529,HSPC
2173,Neutrophil
1363,HSPC
2370,Monocyte
4774,Neutrophil
185,Neutrophil
2638,Neutrophil
5252,HSPC
2638,HSPC
1998,Monocyte
1110,HSPC
4256,Monocyte
3127,Monocyte
311,Neutrophil
4256,Monocyte
4256,HSPC
4406,Baso
5081,Monocyte
3485,Neutrophil
4234,Neutrophil
3336,HSPC
1440,HSPC
734,Neutrophil
299,Monocyte
4141,Neutrophil
3296,Neutrophil
529,Monocyte
1706,Baso
4789,HSPC
2735,Neutrophil
417,Neutrophil
1683,Neutrophil
3456,HSPC
3485,Neutrophil
1683,Baso
1998,Monocyte
3581,Erythroid
3702,Monocyte
1144,Monocyte
417,Monocyte
3219,Baso
3887,Monocyte
221,Monocyte
1144,Monocyte
4455,Neutrophil
1440,HSPC
1683,HSPC
1371,HSPC
4140,Monocyte
3382,Neutrophil
1110,HSPC
4086,HSPC
2370,HSPC
3438,Monocyte
2370,Monocyte
4141,Neutrophil
2638,HSPC
3529,Neutrophil
3887,Neutrophil
5404,HSPC
415,Neutrophil
529,Monocyte
685,Monocyte
417,Neutrophil
1683,Baso
1968,HSPC
801,Monocyte
3910,Monocyte
4205,Baso
5492,Neutrophil
4862,HSPC
4913,HSPC
67,Monocyte
8,Baso
405,Monocyte
3382,Neutrophil
5575,Monocyte
4913,Neutrophil
4190,Neutrophil
2187,Monocyte
1450,Monocyte
3258,HSPC
1592,HSPC
3478,Baso
1339,Neutrophil
801,HSPC
4226,HSPC
4226,HSPC
2354,Neutrophil
5014,HSPC
5155,Neutrophil
4478,HSPC
5404,HSPC
4216,HSPC
4226,HSPC
5014,Neutrophil
3643,Neutrophil
3945,HSPC
801,HSPC
4763,Neutrophil
405,Monocyte
1110,HSPC
52,Neutrophil
2236,Baso
4086,HSPC
2404,Monocyte
3569,Monocyte
1700,Monocyte
2638,HSPC
2638,Neutrophil
2043,HSPC
3330,Monocyte
996,Monocyte
283,HSPC
2039,Monocyte
673,Neutrophil
2173,HSPC
996,Neutrophil
3382,Neutrophil
5805,Neutrophil
3171,Neutrophil
3872,Neutrophil
1110,HSPC
680,Neutrophil
5624,Monocyte
5725,Neutrophil
5404,Monocyte
5492,Monocyte
4234,Monocyte
4141,Neutrophil
4862,HSPC
4715,Monocyte
2370,Monocyte
2777,HSPC
3296,Neutrophil
1648,Neutrophil
4256,Monocyte
4234,HSPC
2962,Neutrophil
3041,Monocyte
5789,HSPC
3529,HSPC
801,HSPC
5252,HSPC
4256,Monocyte
4581,HSPC
5725,Neutrophil
3529,Neutrophil
2043,HSPC
3291,Monocyte
2410,Neutrophil
4190,Neutrophil
2806,Monocyte
5791,Baso
5803,Neutrophil
3530,Neutrophil
801,Neutrophil
1700,Monocyte
5725,HSPC
5789,HSPC
4287,Monocyte
3172,HSPC
4226,HSPC
3362,Neutrophil
417,Monocyte
4256,Monocyte
3485,Neutrophil
163,Monocyte
4862,HSPC
5480,Monocyte
5070,Neutrophil
2862,Baso
4261,HSPC
3438,Monocyte
1972,Baso
2370,Monocyte
3171,Neutrophil
5789,HSPC
417,Monocyte
52,HSPC
4226,HSPC
529,Monocyte
4256,Monocyte
3353,Baso
132,Monocyte
529,Monocyte
3336,HSPC
1110,HSPC
801,HSPC
3976,HSPC
2370,Monocyte
308,HSPC
1466,HSPC
3296,Monocyte
673,Neutrophil
680,Neutrophil
2563,Neutrophil
3258,HSPC
358,HSPC
3334,Neutrophil
5480,Monocyte
4256,HSPC
358,HSPC
1972,Baso
801,Monocyte
405,Monocyte
417,Monocyte
3998,Neutrophil
5832,Neutrophil
5313,Neutrophil
4911,Neutrophil
5803,Neutrophil
3762,Neutrophil
789,Neutrophil
1110,HSPC
1041,HSPC
704,Neutrophil
221,Monocyte
2978,Neutrophil
3485,Neutrophil
4180,Monocyte
5725,HSPC
4226,HSPC
2634,Neutrophil
3485,HSPC
1440,HSPC
2043,HSPC
3111,Neutrophil
1114,Neutrophil
1700,Monocyte
4234,HSPC
3736,Monocyte
996,Neutrophil
3569,Monocyte
4287,Monocyte
1230,Baso
5112,HSPC
394,Monocyte
2043,HSPC
4086,HSPC
4141,Neutrophil
3129,HSPC
1041,HSPC
844,HSPC
2039,HSPC
5789,Monocyte
4180,Monocyte
996,Neutrophil
3681,Monocyte
5313,HSPC
163,HSPC
3129,HSPC
3353,Baso
3296,Neutrophil
3736,HSPC
4287,Monocyte
5081,Monocyte
1683,Monocyte
2187,Monocyte
4967,Monocyte
1557,Baso
3113,HSPC
891,Monocyte
394,HSPC
5404,Monocyte
2043,HSPC
3296,Neutrophil
5081,Monocyte
308,Monocyte
4287,HSPC
547,Baso
754,Baso
529,Monocyte
4226,HSPC
3438,HSPC
2223,HSPC
4541,Monocyte
4774,Neutrophil
734,Neutrophil
299,HSPC
4256,HSPC
5313,Neutrophil
5791,Neutrophil
4180,Monocyte
5803,HSPC
2408,Baso
2370,Monocyte
5404,HSPC
5492,Neutrophil
4862,HSPC
1581,Baso
5081,Monocyte
5791,HSPC
4533,Monocyte
3508,HSPC
2735,Monocyte
2868,Neutrophil
4226,HSPC
1653,HSPC
3364,Erythroid
2094,HSPC
685,Neutrophil
1110,HSPC
4287,Monocyte
4913,HSPC
529,Monocyte
996,Monocyte
5725,HSPC
2638,HSPC
163,HSPC
3113,HSPC
4237,Neutrophil
1592,HSPC
3172,HSPC
704,Neutrophil
4996,Neutrophil
4913,Neutrophil
1363,Monocyte
2173,HSPC
3470,HSPC
5081,Monocyte
3291,HSPC
3530,Monocyte
1822,Neutrophil
5155,Neutrophil
5252,HSPC
283,HSPC
1557,Baso
4287,Monocyte
3638,HSPC
901,Neutrophil
2011,Neutrophil
5112,Monocyte
1440,HSPC
685,Monocyte
4287,HSPC
3330,Neutrophil
3497,HSPC
5081,Monocyte
2370,Monocyte
1794,Monocyte
979,Neutrophil
163,HSPC
3736,HSPC
685,HSPC
163,Monocyte
2862,Baso
1557,Baso
3212,Monocyte
1708,HSPC
5638,Neutrophil
2370,Neutrophil
842,Monocyte
2832,Baso
2569,Monocyte
2638,HSPC
1683,Baso
5252,HSPC
4061,HSPC
5672,HSPC
685,Monocyte
3762,Neutrophil
2094,HSPC
2370,Neutrophil
4287,HSPC
67,Monocyte
4662,Monocyte
415,Monocyte
5725,Neutrophil
2634,Neutrophil
3559,Baso
5070,Baso
5791,Baso
3258,HSPC
2962,Neutrophil
1451,Monocyte
2689,Neutrophil
407,Neutrophil
4261,HSPC
801,Monocyte
4061,Neutrophil
1682,HSPC
4866,Baso
2173,Neutrophil
125,Neutrophil
5789,HSPC
405,Monocyte
2370,Monocyte
163,Monocyte
3149,Monocyte
3382,Neutrophil
996,Neutrophil
415,Neutrophil
2094,HSPC
3963,Baso
2404,Monocyte
5789,HSPC
5617,Baso
5492,Neutrophil
2735,Monocyte
1932,HSPC
4234,HSPC
3438,HSPC
5789,HSPC
5791,Baso
4316,Neutrophil
2442,Neutrophil
221,Monocyte
5338,Neutrophil
4862,HSPC
891,Monocyte
4581,HSPC
358,HSPC
3212,Monocyte
1700,Neutrophil
3382,Neutrophil
405,Monocyte
2370,Neutrophil
1451,Monocyte
3559,Baso
4412,Monocyte
2638,HSPC
1700,Monocyte
685,Monocyte
1339,Neutrophil
3529,Neutrophil
1363,Monocyte
1971,Baso
3087,Neutrophil
3887,HSPC
3336,Neutrophil
3292,HSPC
415,Neutrophil
163,Neutrophil
4226,HSPC
4913,HSPC
4061,Neutrophil
3292,HSPC
1219,Neutrophil
2862,Baso
2686,Neutrophil
5725,Neutrophil
4205,Baso
3438,Monocyte
979,Monocyte
5758,Neutrophil
2410,HSPC
3976,HSPC
2370,Neutrophil
2370,Neutrophil
1683,Monocyte
417,Neutrophil
2569,Monocyte
3219,Baso
801,Monocyte
5789,HSPC
1932,Erythroid
590,Monocyte
4406,HSPC
2370,Monocyte
3945,HSPC
2011,Neutrophil
3638,Monocyte
3628,HSPC
3702,HSPC
1451,Monocyte
1891,HSPC
4086,HSPC
3530,Monocyte
3271,Baso
4913,Neutrophil
4581,HSPC
5404,Monocyte
2569,Monocyte
5083,Monocyte
3492,Neutrophil
3111,Neutrophil
417,Monocyte
5252,HSPC
4678,HSPC
5596,Neutrophil
2370,Monocyte
910,Monocyte
5091,Monocyte
5252,HSPC
4180,Monocyte
5791,Neutrophil
3529,Neutrophil
1310,Baso
3456,HSPC
4913,Neutrophil
2370,Neutrophil
4862,HSPC
3569,Monocyte
1968,HSPC
2569,Monocyte
3418,Monocyte
4141,Neutrophil
3127,Monocyte
1599,Monocyte
3292,HSPC
2569,HSPC
407,Neutrophil
5578,HSPC
405,Neutrophil
163,Monocyte
3339,Neutrophil
3330,HSPC
1592,HSPC
3330,Neutrophil
4190,Monocyte
801,Monocyte
1653,Monocyte
3364,Erythroid
374,Neutrophil
4226,HSPC
801,Monocyte
4541,Monocyte
2868,Neutrophil
152,Monocyte
394,HSPC
3508,HSPC
3497,HSPC
2862,Baso
4913,Neutrophil
801,HSPC
4441,Monocyte
1998,Monocyte
343,Monocyte
2868,Neutrophil
3425,Monocyte
4256,Monocyte
3291,Monocyte
4862,HSPC
3887,Monocyte
4996,Neutrophil
704,Monocyte
417,Neutrophil
417,Monocyte
3111,HSPC
2370,Neutrophil
4913,Neutrophil
2638,HSPC
529,Monocyte
5480,Monocyte
1653,HSPC
3438,HSPC
3628,HSPC
801,Monocyte
2094,HSPC
4287,HSPC
2735,Monocyte
979,Monocyte
2577,Monocyte
185,Neutrophil
2043,HSPC
374,Neutrophil
673,Neutrophil
1440,HSPC
3661,Monocyte
4316,Monocyte
3292,HSPC
415,Neutrophil
407,Neutrophil
3569,HSPC
1592,HSPC
4216,Monocyte
2408,HSPC
3429,Monocyte
3296,Monocyte
4141,Neutrophil
3485,Neutrophil
1592,Neutrophil
5624,HSPC
3438,HSPC
3196,Neutrophil
5252,HSPC
5789,Monocyte
3212,Monocyte
910,Monocyte
2370,Monocyte
163,Monocyte
2094,HSPC
529,Monocyte
4670,Neutrophil
2011,Neutrophil
4226,HSPC
3111,Neutrophil
3127,HSPC
4708,Monocyte
363,Baso
5155,Neutrophil
1495,HSPC
4406,HSPC
299,Monocyte
5791,Neutrophil
4061,Monocyte
4678,HSPC
3438,HSPC
2577,Neutrophil
5791,Neutrophil
2937,HSPC
2569,Monocyte
5309,Neutrophil
284,Baso
5252,HSPC
2111,Baso
2173,HSPC
1495,HSPC
2075,Neutrophil
704,Monocyte
4256,Monocyte
5404,Neutrophil
358,HSPC
4141,Monocyte
3530,Neutrophil
2370,HSPC
394,Monocyte
4774,Neutrophil
5596,Neutrophil
979,Neutrophil
5789,HSPC
3887,HSPC
1451,Monocyte
125,Neutrophil
1219,Monocyte
3572,HSPC
4061,Neutrophil
358,HSPC
1429,Neutrophil
4234,Monocyte
3529,Neutrophil
2849,HSPC
125,Neutrophil
5309,Neutrophil
2903,Erythroid
1700,Neutrophil
5480,Monocyte
1317,Monocyte
5789,HSPC
4048,HSPC
5624,Monocyte
4205,Baso
5725,Neutrophil
5309,HSPC
3628,HSPC
2638,HSPC
5404,Monocyte
3530,Neutrophil
3497,HSPC
1592,Neutrophil
4216,Neutrophil
2334,Neutrophil
704,Monocyte
2236,Neutrophil
3438,HSPC
3572,HSPC
4287,HSPC
1219,Neutrophil
4784,Neutrophil
3736,HSPC
2331,Baso
3497,HSPC
3336,HSPC
3330,HSPC
4234,HSPC
4226,HSPC
673,Monocyte
794,Neutrophil
5404,HSPC
4893,HSPC
2408,Baso
3438,HSPC
4287,Monocyte
5404,HSPC
1239,Erythroid
4287,HSPC
405,Monocyte
1829,HSPC
5112,HSPC
3497,HSPC
5309,Neutrophil
3171,Neutrophil
3378,Baso
4581,HSPC
4774,Baso
5309,Neutrophil
5309,Neutrophil
67,Monocyte
5725,Neutrophil
2868,Neutrophil
3292,HSPC
4141,Monocyte
2039,Monocyte
2569,HSPC
5725,HSPC
2094,HSPC
4190,Monocyte
1450,Monocyte
704,Neutrophil
5789,HSPC
374,Neutrophil
4287,Monocyte
5818,Neutrophil
3529,HSPC
3171,Neutrophil
3129,HSPC
5309,Neutrophil
3530,Neutrophil
4058,Neutrophil
2370,Monocyte
417,Neutrophil
3111,Neutrophil
910,Monocyte
5404,Monocyte
1440,HSPC
5624,Monocyte
5014,HSPC
3569,Monocyte
659,Baso
67,Monocyte
3530,Neutrophil
1110,HSPC
405,Monocyte
1495,HSPC
5081,Monocyte
2111,Neutrophil
5479,Neutrophil
4678,HSPC
1683,Neutrophil
1968,HSPC
245,HSPC
590,Monocyte
2370,Monocyte
394,Monocyte
4774,Neutrophil
703,Neutrophil
5309,Neutrophil
3330,HSPC
5596,Neutrophil
901,Neutrophil
5789,HSPC
2331,Baso
4234,HSPC
829,Monocyte
4581,HSPC
3734,HSPC
801,Monocyte
1440,HSPC
996,Monocyte
1706,HSPC
394,Monocyte
4287,HSPC
4913,Neutrophil
1737,Baso
4226,HSPC
3958,Neutrophil
5725,Neutrophil
685,Monocyte
3702,Monocyte
5252,HSPC
1599,Monocyte
67,Monocyte
4678,HSPC
1989,Monocyte
1339,Neutrophil
2849,HSPC
125,HSPC
2638,HSPC
2111,Baso
3438,HSPC
1592,HSPC
3111,Neutrophil
5112,Neutrophil
2735,Monocyte
529,Monocyte
3438,HSPC
3624,HSPC
4205,Baso
5404,Monocyte
4256,Monocyte
1041,Neutrophil
3530,Monocyte
3438,Monocyte
3734,Monocyte
374,Neutrophil
1339,Baso
3887,Monocyte
4256,Monocyte
1592,HSPC
1592,HSPC
4234,HSPC
1592,Monocyte
1559,Monocyte
4161,Neutrophil
4913,HSPC
4237,Neutrophil
4287,HSPC
394,Monocyte
2495,Monocyte
125,Neutrophil
4226,HSPC
4406,Baso
4287,Monocyte
2868,Monocyte
3530,Neutrophil
801,HSPC
2569,HSPC
3469,Neutrophil
3438,HSPC
4923,HSPC
4774,Baso
125,Neutrophil
3910,Monocyte
1451,Monocyte
2223,Monocyte
4086,HSPC
3670,Neutrophil
2196,Monocyte
5789,HSPC
2173,Neutrophil
2569,HSPC
5789,HSPC
1466,Neutrophil
3887,Monocyte
308,Monocyte
5617,Neutrophil
4226,HSPC
872,Baso
1706,HSPC
394,Monocyte
5445,Baso
405,Monocyte
4913,Neutrophil
5789,Neutrophil
3127,HSPC
3438,Monocyte
374,Neutrophil
801,HSPC
2370,Monocyte
1110,Neutrophil
5404,Monocyte
2111,Neutrophil
394,Monocyte
3455,Neutrophil
4144,Neutrophil
5112,HSPC
3628,HSPC
3628,HSPC
3258,HSPC
1599,Monocyte
3296,HSPC
5112,HSPC
529,Monocyte
5251,HSPC
2630,Baso
4226,HSPC
405,Neutrophil
67,Monocyte
5624,Monocyte
4316,Neutrophil
1110,HSPC
2111,Neutrophil
1683,HSPC
3291,HSPC
3887,Monocyte
5725,Neutrophil
4533,Monocyte
1998,Monocyte
5083,Monocyte
3171,Neutrophil
2223,HSPC
2404,Monocyte
2039,Monocyte
3438,Monocyte
5725,HSPC
405,Monocyte
1998,Monocyte
2569,Monocyte
3438,HSPC
283,Baso
680,Neutrophil
5711,HSPC
3569,HSPC
311,Neutrophil
1110,HSPC
5404,HSPC
3339,Monocyte
3530,Neutrophil
3353,Baso
66,HSPC
407,Neutrophil
2638,HSPC
5404,HSPC
3887,HSPC
3628,HSPC
67,HSPC
1592,Monocyte
2435,HSPC
2862,Monocyte
3292,HSPC
3910,Monocyte
5091,Monocyte
3628,HSPC
4533,Monocyte
1984,Neutrophil
1683,Neutrophil
417,Neutrophil
5736,Neutrophil
801,HSPC
4226,HSPC
5014,Neutrophil
1683,Monocyte
3530,Neutrophil
3762,Neutrophil
2569,HSPC
2039,HSPC
3887,Monocyte
1557,Baso
67,Monocyte
2173,Neutrophil
3129,HSPC
1910,Baso
979,Neutrophil
2638,HSPC
5725,Neutrophil
220,HSPC
3438,Monocyte
3111,Neutrophil
1998,Monocyte
1110,HSPC
4226,HSPC
407,Neutrophil
4470,HSPC
5725,HSPC
794,Monocyte
2862,Baso
5070,Neutrophil
415,Neutrophil
801,HSPC
394,Monocyte
3129,HSPC
1114,Neutrophil
1872,Baso
5725,Neutrophil
1706,HSPC
3529,Neutrophil
4205,Baso
2569,HSPC
125,Neutrophil
4913,Neutrophil
1572,HSPC
673,Monocyte
3529,Neutrophil
1110,HSPC
3530,Neutrophil
5081,Monocyte
5725,HSPC
4678,HSPC
3497,HSPC
4086,HSPC
5309,Neutrophil
2492,Neutrophil
3438,HSPC
5081,HSPC
4581,HSPC
3212,Monocyte
685,Monocyte
5789,Neutrophil
5252,HSPC
1998,Monocyte
4581,HSPC
3530,Neutrophil
2370,Neutrophil
4058,Neutrophil
5725,Neutrophil
2370,Monocyte
2223,HSPC
2408,Baso
4913,HSPC
1648,Baso
979,Neutrophil
529,HSPC
3497,HSPC
987,Baso
4237,Monocyte
3665,Baso
4662,Monocyte
2011,Neutrophil
132,Monocyte
125,Neutrophil
1572,Neutrophil
3111,Neutrophil
5404,Monocyte
3912,Erythroid
632,Baso
801,Neutrophil
4316,Monocyte
1557,Baso
996,Neutrophil
5578,HSPC
4226,HSPC
374,Neutrophil
1998,Neutrophil
3438,HSPC
3438,HSPC
4061,Neutrophil
4061,Neutrophil
363,Baso
3470,HSPC
3339,Monocyte
4058,Monocyte
5112,Monocyte
2868,Neutrophil
2862,Monocyte
2735,Neutrophil
2196,Monocyte
4205,Baso
3292,HSPC
2196,Neutrophil
2173,HSPC
2111,Neutrophil
5480,Monocyte
3530,Neutrophil
1737,Baso
394,Monocyte
2370,Monocyte
1984,Monocyte
4226,HSPC
2492,Neutrophil
2370,Monocyte
826,Monocyte
573,HSPC
3111,Neutrophil
3455,Neutrophil
3438,HSPC
2173,Neutrophil
3212,Monocyte
3258,HSPC
5638,Neutrophil
529,Monocyte
5338,Baso
801,HSPC
4926,Monocyte
4996,Neutrophil
3628,HSPC
283,HSPC
3958,Monocyte
